category,entity_name,metric_name,metric_value,timestamp,source_type
saas,RISK_READY_INC,mrr,100167.31,2025-01-01,internal_system
saas,RISK_READY_INC,churn_rate,0.0281,2025-01-01,internal_system
saas,RISK_READY_INC,conversion_rate,0.04365,2025-01-01,internal_system
saas,RISK_READY_INC,growth_rate,0.00946,2025-01-01,internal_system
saas,RISK_READY_INC,arpu,102.95,2025-01-01,internal_system
saas,RISK_READY_INC,ltv,2331.81,2025-01-01,internal_system
saas,RISK_READY_INC,mrr,102220.62,2025-02-01,internal_system
saas,RISK_READY_INC,churn_rate,0.02905,2025-02-01,internal_system
saas,RISK_READY_INC,conversion_rate,0.04503,2025-02-01,internal_system
saas,RISK_READY_INC,growth_rate,0.0059,2025-02-01,internal_system
saas,RISK_READY_INC,arpu,101.12,2025-02-01,internal_system
saas,RISK_READY_INC,ltv,2320.96,2025-02-01,internal_system
saas,RISK_READY_INC,mrr,102931.84,2025-03-01,internal_system
saas,RISK_READY_INC,churn_rate,0.0302,2025-03-01,internal_system
saas,RISK_READY_INC,conversion_rate,0.0469,2025-03-01,internal_system
saas,RISK_READY_INC,growth_rate,0.0165,2025-03-01,internal_system
saas,RISK_READY_INC,arpu,101.38,2025-03-01,internal_system
saas,RISK_READY_INC,ltv,2356.07,2025-03-01,internal_system
saas,RISK_READY_INC,mrr,105621.32,2025-04-01,internal_system
saas,RISK_READY_INC,churn_rate,0.03013,2025-04-01,internal_system
saas,RISK_READY_INC,conversion_rate,0.04833,2025-04-01,internal_system
saas,RISK_READY_INC,growth_rate,0.01986,2025-04-01,internal_system
saas,RISK_READY_INC,arpu,102.11,2025-04-01,internal_system
saas,RISK_READY_INC,ltv,2297.99,2025-04-01,internal_system
saas,RISK_READY_INC,mrr,107548.66,2025-05-01,internal_system
saas,RISK_READY_INC,churn_rate,0.03215,2025-05-01,internal_system
saas,RISK_READY_INC,conversion_rate,0.04456,2025-05-01,internal_system
saas,RISK_READY_INC,growth_rate,0.00813,2025-05-01,internal_system
saas,RISK_READY_INC,arpu,104.39,2025-05-01,internal_system
saas,RISK_READY_INC,ltv,2398.67,2025-05-01,internal_system
saas,RISK_READY_INC,mrr,109118.55,2025-06-01,internal_system
saas,RISK_READY_INC,churn_rate,0.03442,2025-06-01,internal_system
saas,RISK_READY_INC,conversion_rate,0.04772,2025-06-01,internal_system
saas,RISK_READY_INC,growth_rate,0.02596,2025-06-01,internal_system
saas,RISK_READY_INC,arpu,102.76,2025-06-01,internal_system
saas,RISK_READY_INC,ltv,2409.37,2025-06-01,internal_system
